date,Average prices across India,value
02-01-2007,Maximum Price,1188.079365
02-01-2007,Minimum price,705.6666667
02-01-2007,Modal price,1000.920635
03-01-2007,Maximum Price,824.5076923
03-01-2007,Minimum price,511.5230769
03-01-2007,Modal price,707.0307692
04-01-2007,Maximum Price,636.1875
04-01-2007,Minimum price,393.78125
04-01-2007,Modal price,540
05-01-2007,Maximum Price,682.442623
05-01-2007,Minimum price,366.3770492
05-01-2007,Modal price,530.2295082
06-01-2007,Maximum Price,867.55
06-01-2007,Minimum price,506.35
06-01-2007,Modal price,734.7666667
07-01-2007,Maximum Price,979.1269841
07-01-2007,Minimum price,604.5873016
07-01-2007,Modal price,834.3015873
08-01-2007,Maximum Price,1288.396825
08-01-2007,Minimum price,781.7777778
08-01-2007,Modal price,1101.952381
09-01-2007,Maximum Price,1541.583333
09-01-2007,Minimum price,905.2666667
09-01-2007,Modal price,1308.166667
10-01-2007,Maximum Price,1572.928571
10-01-2007,Minimum price,855.0714286
10-01-2007,Modal price,1298.464286
11-01-2007,Maximum Price,1044.155172
11-01-2007,Minimum price,561.2241379
11-01-2007,Modal price,846.1551724
12-01-2007,Maximum Price,713.6333333
12-01-2007,Minimum price,408.2
12-01-2007,Modal price,578.45
01-01-2008,Maximum Price,486.2741935
01-01-2008,Minimum price,274.4032258
01-01-2008,Modal price,389.3709677
02-01-2008,Maximum Price,418.2166667
02-01-2008,Minimum price,228.6
02-01-2008,Modal price,336.8666667
03-01-2008,Maximum Price,453.2758621
03-01-2008,Minimum price,261.2931034
03-01-2008,Modal price,372.1034483
04-01-2008,Maximum Price,425.8833333
04-01-2008,Minimum price,260.15
04-01-2008,Modal price,358.3166667
05-01-2008,Maximum Price,394.6833333
05-01-2008,Minimum price,226.25
05-01-2008,Modal price,324.1666667
06-01-2008,Maximum Price,481.5
06-01-2008,Minimum price,257.4285714
06-01-2008,Modal price,391.9642857
07-01-2008,Maximum Price,726.6842105
07-01-2008,Minimum price,409.2807018
07-01-2008,Modal price,607.3859649
08-01-2008,Maximum Price,901.54
08-01-2008,Minimum price,575.78
08-01-2008,Modal price,778.62
09-01-2008,Maximum Price,822.2
09-01-2008,Minimum price,451.6727273
09-01-2008,Modal price,684.2545455
10-01-2008,Maximum Price,819.2181818
10-01-2008,Minimum price,428.7818182
10-01-2008,Modal price,675.0727273
11-01-2008,Maximum Price,1211.192982
11-01-2008,Minimum price,628.4210526
11-01-2008,Modal price,962.8245614
12-01-2008,Maximum Price,1305.436364
12-01-2008,Minimum price,720.2727273
12-01-2008,Modal price,1064.418182
01-01-2009,Maximum Price,1485.5
01-01-2009,Minimum price,833.6666667
01-01-2009,Modal price,1231.25
02-01-2009,Maximum Price,1277.693548
02-01-2009,Minimum price,759.8709677
02-01-2009,Modal price,1077.274194
03-01-2009,Maximum Price,940.7419355
03-01-2009,Minimum price,591.8709677
03-01-2009,Modal price,805.7903226
04-01-2009,Maximum Price,680.8064516
04-01-2009,Minimum price,432.0645161
04-01-2009,Modal price,583.2903226
05-01-2009,Maximum Price,641.5
05-01-2009,Minimum price,364.6451613
05-01-2009,Modal price,536.5483871
06-01-2009,Maximum Price,804.9032258
06-01-2009,Minimum price,440.3709677
06-01-2009,Modal price,665.2258065
07-01-2009,Maximum Price,806.0847458
07-01-2009,Minimum price,482.4237288
07-01-2009,Modal price,690.8983051
08-01-2009,Maximum Price,839.2068966
08-01-2009,Minimum price,495.1896552
08-01-2009,Modal price,717.8793103
09-01-2009,Maximum Price,891.7846154
09-01-2009,Minimum price,491.0923077
09-01-2009,Modal price,740.7230769
10-01-2009,Maximum Price,1616.43662
10-01-2009,Minimum price,887.5915493
10-01-2009,Modal price,1350.915493
11-01-2009,Maximum Price,1835.058824
11-01-2009,Minimum price,891.6176471
11-01-2009,Modal price,1446.911765
12-01-2009,Maximum Price,1921.565217
12-01-2009,Minimum price,815.4057971
12-01-2009,Modal price,1411.971014
01-01-2010,Maximum Price,1657.028986
01-01-2010,Minimum price,811.2028986
01-01-2010,Modal price,1316.782609
02-01-2010,Maximum Price,1346.338235
02-01-2010,Minimum price,730.1911765
02-01-2010,Modal price,1105.985294
03-01-2010,Maximum Price,860.0447761
03-01-2010,Minimum price,481.0746269
03-01-2010,Modal price,715.3134328
04-01-2010,Maximum Price,711
04-01-2010,Minimum price,404.2898551
04-01-2010,Modal price,589.884058
05-01-2010,Maximum Price,678.4285714
05-01-2010,Minimum price,358.3142857
05-01-2010,Modal price,547.8
06-01-2010,Maximum Price,777.2173913
06-01-2010,Minimum price,404.4927536
06-01-2010,Modal price,626.6086957
07-01-2010,Maximum Price,871.6119403
07-01-2010,Minimum price,450.7313433
07-01-2010,Modal price,705.7164179
08-01-2010,Maximum Price,1033.015152
08-01-2010,Minimum price,531.0757576
08-01-2010,Modal price,841.6212121
09-01-2010,Maximum Price,1500.014925
09-01-2010,Minimum price,782.8955224
09-01-2010,Modal price,1227.059701
