state,date,Modal price (Average)
DEL,07-01-12,681
DEL,08-01-12,690
DEL,09-01-12,690
DEL,10-01-12,1019
DEL,11-01-12,1066
DEL,12-01-12,1142
DEL,01-01-13,1351
DEL,02-01-13,1464
DEL,03-01-13,1155
DEL,04-01-13,1013
DEL,05-01-13,860
DEL,06-01-13,1172
DEL,07-01-13,1990
DEL,08-01-13,3510
DEL,09-01-13,4407
DEL,10-01-13,4159
DEL,11-01-13,3395
DEL,12-01-13,1632
DEL,01-01-14,1151
DEL,02-01-14,927
DEL,03-01-14,969
DEL,04-01-14,1031
DEL,05-01-14,1142
DEL,06-01-14,1277
DEL,07-01-14,2042
DEL,08-01-14,1750
DEL,09-01-14,1700
DEL,10-01-14,1629
DEL,11-01-14,1528
DEL,12-01-14,1609
DEL,01-01-15,1353
DEL,02-01-15,1542
DEL,03-01-15,1413
DEL,04-01-15,1335
DEL,05-01-15,1309
DEL,06-01-15,1569
DEL,07-01-15,1880
DEL,08-01-15,3381
DEL,09-01-15,3763
DEL,10-01-15,2913
DEL,11-01-15,2090
DEL,12-01-15,1223
DEL,01-01-16,1154
DEL,02-01-16,898
DEL,03-01-16,897
GUJ,03-01-98,423
GUJ,04-01-98,258
GUJ,05-01-98,234
GUJ,06-01-98,435
GUJ,07-01-98,751
GUJ,08-01-98,1032
GUJ,09-01-98,1334
GUJ,10-01-98,1428.5
GUJ,11-01-98,1417.5
GUJ,12-01-98,1011.5
GUJ,01-01-99,481.5
GUJ,02-01-99,303
GUJ,03-01-99,268.5
GUJ,04-01-99,321
GUJ,05-01-99,391
GUJ,06-01-99,327
GUJ,07-01-99,430
GUJ,08-01-99,405
GUJ,09-01-99,621
GUJ,10-01-99,572
GUJ,11-01-99,390
GUJ,12-01-99,268.5
GUJ,01-01-00,224
GUJ,02-01-00,214
GUJ,03-01-00,204.5
GUJ,04-01-00,260.5
GUJ,05-01-00,292
GUJ,06-01-00,249
GUJ,07-01-00,246
GUJ,08-01-00,276
GUJ,09-01-00,260
GUJ,10-01-00,306
GUJ,11-01-00,357
GUJ,12-01-00,326
GUJ,01-01-01,454
GUJ,02-01-01,310
GUJ,03-01-01,266
GUJ,04-01-01,246
GUJ,05-01-01,272
GUJ,06-01-01,271
GUJ,07-01-01,234
GUJ,08-01-01,301
GUJ,09-01-01,326
GUJ,10-01-01,409
GUJ,11-01-01,467
GUJ,12-01-01,369.5
GUJ,01-01-02,228.6666667
GUJ,02-01-02,191
GUJ,03-01-02,186
GUJ,04-01-02,180
GUJ,05-01-02,168
GUJ,06-01-02,200
GUJ,07-01-02,251
GUJ,08-01-02,307.5
GUJ,09-01-02,308
GUJ,10-01-02,378.5
GUJ,11-01-02,267.5
GUJ,12-01-02,218.5
GUJ,01-01-03,158.6666667
GUJ,02-01-03,130.6666667
GUJ,03-01-03,163
GUJ,04-01-03,214.6666667
GUJ,05-01-03,249.6666667
GUJ,06-01-03,341
GUJ,07-01-03,358.3333333
GUJ,08-01-03,395
GUJ,09-01-03,411.6666667
GUJ,10-01-03,550.6666667
GUJ,11-01-03,379
GUJ,12-01-03,587
GUJ,01-01-04,661.8
GUJ,02-01-04,609.4
GUJ,03-01-04,346.4
GUJ,04-01-04,242.4
GUJ,05-01-04,214.2
GUJ,06-01-04,249.75
GUJ,07-01-04,260.75
GUJ,08-01-04,309
GUJ,09-01-04,314.5
GUJ,10-01-04,379
GUJ,11-01-04,339.2
GUJ,12-01-04,284
GUJ,01-01-05,280.1666667
GUJ,02-01-05,232
GUJ,03-01-05,224.1666667
GUJ,04-01-05,224.5
GUJ,05-01-05,212.8333333
GUJ,06-01-05,238.6
GUJ,07-01-05,297.2
GUJ,08-01-05,465
GUJ,09-01-05,745
