date,year,month,Average prices across India,value
05-01-2008,2008,May,Minimum price,226.25
05-01-2008,2008,May,Modal price,324.1666667
06-01-2008,2008,Jun,Maximum Price,481.5
06-01-2008,2008,Jun,Minimum price,257.4285714
06-01-2008,2008,Jun,Modal price,391.9642857
07-01-2008,2008,Jul,Maximum Price,726.6842105
07-01-2008,2008,Jul,Minimum price,409.2807018
07-01-2008,2008,Jul,Modal price,607.3859649
08-01-2008,2008,Aug,Maximum Price,901.54
08-01-2008,2008,Aug,Minimum price,575.78
08-01-2008,2008,Aug,Modal price,778.62
09-01-2008,2008,Sep,Maximum Price,822.2
09-01-2008,2008,Sep,Minimum price,451.6727273
09-01-2008,2008,Sep,Modal price,684.2545455
10-01-2008,2008,Oct,Maximum Price,819.2181818
10-01-2008,2008,Oct,Minimum price,428.7818182
10-01-2008,2008,Oct,Modal price,675.0727273
11-01-2008,2008,Nov,Maximum Price,1211.192982
11-01-2008,2008,Nov,Minimum price,628.4210526
11-01-2008,2008,Nov,Modal price,962.8245614
12-01-2008,2008,Dec,Maximum Price,1305.436364
12-01-2008,2008,Dec,Minimum price,720.2727273
12-01-2008,2008,Dec,Modal price,1064.418182
01-01-2009,2009,Jan,Maximum Price,1485.5
01-01-2009,2009,Jan,Minimum price,833.6666667
01-01-2009,2009,Jan,Modal price,1231.25
02-01-2009,2009,Feb,Maximum Price,1277.693548
02-01-2009,2009,Feb,Minimum price,759.8709677
02-01-2009,2009,Feb,Modal price,1077.274194
03-01-2009,2009,Mar,Maximum Price,940.7419355
03-01-2009,2009,Mar,Minimum price,591.8709677
03-01-2009,2009,Mar,Modal price,805.7903226
04-01-2009,2009,Apr,Maximum Price,680.8064516
04-01-2009,2009,Apr,Minimum price,432.0645161
04-01-2009,2009,Apr,Modal price,583.2903226
05-01-2009,2009,May,Maximum Price,641.5
05-01-2009,2009,May,Minimum price,364.6451613
05-01-2009,2009,May,Modal price,536.5483871
06-01-2009,2009,Jun,Maximum Price,804.9032258
06-01-2009,2009,Jun,Minimum price,440.3709677
06-01-2009,2009,Jun,Modal price,665.2258065
07-01-2009,2009,Jul,Maximum Price,806.0847458
07-01-2009,2009,Jul,Minimum price,482.4237288
07-01-2009,2009,Jul,Modal price,690.8983051
08-01-2009,2009,Aug,Maximum Price,839.2068966
08-01-2009,2009,Aug,Minimum price,495.1896552
08-01-2009,2009,Aug,Modal price,717.8793103
09-01-2009,2009,Sep,Maximum Price,891.7846154
09-01-2009,2009,Sep,Minimum price,491.0923077
09-01-2009,2009,Sep,Modal price,740.7230769
10-01-2009,2009,Oct,Maximum Price,1616.43662
